bidNtceNo,bidNtceNm,기초금액,예가범위,추정가격,낙찰하한율,낙찰가
20231136654,[긴급] 인계초 그린스마트 개축 및 리모델링 소방공사[장기계속계약],1176461000,3.0,1069510000,86.745,1024624890
20231136655,대왕암공원 해안둘레길 전망시설 석축 안전 보강공사(신기술·특허공법),62000000,3.0,56363636,87.745,54383950
20231136658,왕숙체육공원 테니스장 시설개선 공사,47587100,3.0,43261000,87.745,41614900
20231136662,초지중 교사동 내부 도장공사 전자견적 제출 안내 공고,178022000,3.0,161838182,87.745,156754500
20231136665,국도27호선 곡성 옥과천교(상) 등 4개소 시설물 보수공사,242990000,2.0,220900000,87.745,215836320
20231136669,임곡중학교 교실바닥교체 공사 소액수의 견적 제출 공고,189222000,3.0,172020000,87.745,167500160
20231136670,유성고 본동수선 및 증축 정보통신공사,141180000,3.0,128345455,87.745,125172300
20231136672,옥포성지중 급식시설 현대화사업 기계설비공사 입찰 공고,245454000,3.0,223140000,87.745,215877995
20231136674,개인형이동장치 환승주차구역 설치공사,25000000,3.0,22727273,87.745,21878030
20231136675,봉화 법전강씨 종택 보수공사(지붕보수공사),198460000,3.0,180418182,87.745,174575136
20231136676,"동백초 등 4교(상당중,신도중,인지중) 급식조리실 환기개선 및 기타 전기공사",178665000,3.0,162422727,87.745,157684231
20231136680,승영중학교 내진보강 및 외벽개선공사(계속비) 2인이상 수의계약 견적제출 안내공고,251009000,3.0,228190000,87.745,219644600
20231136688,시민체육광장 테니스장 개보수공사(조경),120832000,3.0,109847273,87.745,106729980
20231136691,유성고 본동수선 및 증축 전기공사(긴급),293860000,3.0,267145455,87.745,262790500
20231136695,성안중 천장마감공사 입찰 공고[긴급],325218000,3.0,295652727,87.745,286456968
20231136697,청주대성고 석면철거공사 수의견적 공고,140569000,3.0,127790000,87.745,124622200
20231136698,금성면 활산리 큰옥골 및 능골 세천 정비공사,42820000,3.0,38927273,87.745,37317670
20231136701,서울청룡초 냉난방개선 및 석면해체제거 전기공사,95967000,3.0,87242727,87.745,84476224
20231136702,국도19호선 구례 통로암거 사상1(우) 등 3개소 시설물 보수공사,257510000,2.0,234100000,87.745,229411955
20231136704,"반여초등학교 등 3교(재송중,부산수영중) 급식조리실 환기개선 및 기타 전기공사",149068000,3.0,135516364,87.745,133305102
20231136706,시민체육광장 테니스장 개보수공사(전기),88440000,3.0,80400000,87.745,77531600
20231136710,기계 월곡지 복통 보수공사,70400000,3.0,64000000,87.745,70400000
20231136723,국도17호선 순천 지본교 등 2개소 교면포장 보수공사,184470000,2.0,167700000,87.745,161991470
20231136724,남산공원 전기공사(조명시설),133021000,3.0,120928182,87.745,118267930
20231136725,금성면 사곡리 마을안길 배수로 정비공사,44730000,3.0,40663636,87.745,39282280
20231136726,순천고등학교 도서관외 2실 보수공사,126764000,3.0,115240000,87.745,111320177
20231136727,복합산림관리시설 주변 편익시설 설치공사,28200000,3.0,25636364,87.745,24819230
