bidNtceNo,bidNtceNm,기초금액,예가범위,추정가격,낙찰하한율,낙찰가
20230925018,2023년 상당구 누수보수 및 시설물 보수공사(연간단가5차),99400000,3,90454545,87.745,
20230925023,2023년 교량 등 시설물 유지보수공사(연간단가)(덕양구)(3차),100000000,3,90909090,87.745,87362000
20230925026,아천초등학교 능치분교장 외 1교(개령초) 내진보강공사에 따른 전기공사 수의견적 요청 공고,20174000,3,18340000,87.745,17775589
20230925032,홍동중학교 외부환경개선공사,63353000,3,57593637,87.745,55789614
20230925035,2023년도 도로시설물 긴급보수 추가공사(연간단가),174580000,3,158709091,87.745,153987168
20230925043,2023년 운남2(가칭)가압장 신설공사(토목),62887000,3,57170000,87.745,55889320
20230925044,신수도 관광지 조성사업,564490000,3,513172727,87.745,496195000
20230925048,2023년 관내 도로 노면 재포장 단가계약 3차 시청권역,11717000,3,90000000,87.745,10284760
20230925049,중구관내 학대피해아동쉼터 리모델링 공사,81620000,3,74200000,87.745,70998060
20230925050,"춘천시 삼천동 수소충전소 구축사업 건축,토목공사",985291364,2,895719422,87.745,870283500
20230925054,원천동 360-11일원 외 3개소 비굴착 부분보수공사[신기술(특허)공법 사용],93671000,3,85155455,87.745,83666427
20230925055,정산고등학교 고교학점제 학습공간조성(2차) 전기공사,170379000,3,154890000,87.745,149059260
20230925060,동읍 송정리 102-2 일원 도로 재포장공사,33350000,3,30318182,87.745,29616454
20230925063,양동여자중학교 인조잔디운동장 조성공사,150139000,3,136490001,87.745,133452000
20230925067,홍성군 농업농촌 RE100 실증지원사업(원천마을회관 리모델링) 건축공사,317601000,2,288728181,87.745,277123411
20230925069,연천역 앞 교통체계 개선사업,106535000,3,96850000,87.745,93779580
20230925071,삼서면 행정복지센터 옹벽보강공사,88487750,3,80443409,87.745,
20230925073,국립호남권생물자원관 에듀센터 건립사업 전기공사,509275000,2,476980909,0,451459000
20230925074,2023년 서원구 누수보수 및 시설물 보수공사(연간단가5차),99400000,3,90454545,87.745,
20230925080,(입찰대행)내서1리 마을만들기사업(마을회관 대수선 공사),69200000,3,62909091,87.745,62000000
20230925086,경원선(녹천~창동간) 기존 방음담장 철거공사(긴급),339627000,3,308751819,87.745,302118900
20230925088,영광염산중 스탠드 보수공사 수의계약 안내 공고,160919000,3,146290000,87.745,141775800
20230925089,신수경로당 신축공사,389814000,3,354376364,87.745,345531300
20230925090,홍천농고 창의융합형 공동실습소 야외실습장 건축공사,571578000,3,519616364,87.745,508057970
20230925091,제주소포물류센터 시설개선 공사 소액수의 견적제출 안내공고,29326000,2,26659999,87.745,25624960
20230925093,서면 농어촌도로207호(도둔) 수문보강공사,122460000,3,111327273,87.745,107542000
20230925094,2023년 청원구 누수보수 및 시설물 보수공사(연간단가5차),99400000,3,90454545,87.745,
20230925104,은산면 신대리 아스콘 덧씌우기 포장공사,106260000,3,96600000,87.745,94010777
20230925105,2023년 흥덕구 누수보수 및 시설물 보수공사(연간단가5차),99400000,3,90454545,87.745,
20230925106,춘양초 놀이중심공간 조성공사,83450000,3,75863636,87.745,73615406
20230925109,국립호남권생물자원관 에듀센터 건립사업 통신공사,249872000,2,230791819,0,222176000
20230925110,명륜초 교사동 지붕보수공사,90100000,3,81909091,87.745,80909500
20230925124,일산직업능력개발원 본관동 2층 경사로 WALL 및 지하저수조 지붕 설치 공사,124396800,2,113088000,87.745,109951510
20230925125,외산면 마을 수해복구 정비사업,38034000,3,34576364,87.745,33565298
20230925126,장성군 북이면 신평리 전원마을 둘레길 정비공사,28853000,3,26230000,87.745,25629230
20230925131,안전한 보행환경 조성사업(덕정동 117-10번지 일원),93236000,3,84760000,87.745,82563300
20230925133,은산면 가곡2리 아스콘 덧씌우기 포장공사,118130000,3,107390909,87.745,103638699
20230925139,"봉덕초 외 1교(여천고) 본관교사동 외 2동(유치원, 학생샤워장) 내진보강공사",304854000,3,277140000,87.745,269874400
20230925143,은산면 나령1리 농로포장공사,30911000,3,28100909,87.745,27345900
20230925147,[입찰대행]진주공공하수처리시설 2단계 초침 슬러지수집기(1~3지) 교체 공사,37991000,3,34537273,87.745,33966406
20230925149,군도25호 도로안전 시설보강공사,64560000,3,58690909,87.745,56812400
20230925151,순천청암고등학교 별관동 외벽 보수공사,251906000,3,229005455,87.745,223914400
20230925154,법성포초 창고 증축공사 수의계약 안내 공고,139414000,3,126740000,87.745,123324294
20230925155,국도32호선 신시절토사면 외 4개소 보수공사,188800000,2,171636364,87.745,166072230
20230925161,창의인성교육관 천장개체 및 내진보강 전기공사 견적제출 안내 공고,32040950,3,29128137,87.745,28677177
20230925163,2023년 소규모 등산로 정비공사,143629000,3,130571819,87.745,126775400
20230925165,진도 관광지 조성사업,599690000,3,545172727,87.745,524304900
20230925167,2023년 임도변 덩굴제거사업(덕월·상가지구),53253000,3,48411818,87.745,46871054
20230925173,군도7호선 독점교 보수.보강공사,175846000,3,159860000,87.745,153812400
20230925182,태조산 유아숲체험원 2차 조성공사,174274000,3,158430910,87.745,169045800
20230925188,꿈동산어린이공원 등 2개소 정비사업,107255700,3,97505182,87.745,94367000
20230925190,2023년 임도변 덩굴제거사업(지족·금송지구),50453000,3,45866364,87.745,44406612
20230925194,덕곡중계펌프장 차집관로 정비공사 [신기술(특허)공법 사용],183000000,3,166363637,87.745,161389433
20230925196,충남체육고등학교 본동 장애인 승강기 증축공사,198315000,3,180286364,87.745,174268497
20230925200,2023년도 하반기 하수도 준설공사 단가계약(1구역),63090000,3,57354545,87.745,57727000
20230925203,2023년 임도변 덩굴제거사업(창선지구),52350000,3,47590909,87.745,45942360
20230925204,남해군 농어촌 맑은 물 공급사업(정포마을),51700000,3,47000000,87.745,45450480
20230925206,단양읍 도시계획도로 보도블럭 정비공사(2공구),105751000,3,96137273,87.745,94691340
20230925208,대화동 행정복지센터 승강기 설치공사(전기),28160000,3,25600000,87.745,24656860
20230925209,남기배수로 정비공사,139770000,3,127063636,87.745,123941250
20230925212,2023년도 하반기 하수도 준설공사 단가계약(2구역),63090000,3,57354545,87.745,55343610
20230925215,(긴급)경춘선 백양리역 오수처리시설 개량기타공사,237583000,2,237583000,87.745,
20230925217,양묘하우스 신축공사(건축),237380000,3,215800000,87.745,208434190
20230925219,단양구경시장 조차장 보수·보강공사,154121000,3,140110000,87.745,135299000
20230925222,복현2동 일원 노후 보안등 정비공사,107107000,3,97370000,87.745,95147570
20230925223,2023년 초등학교 주변 기종점 노면표시 설치공사,159800000,3,145272728,87.745,139981100
20230925227,2023년도 하반기 하수도 준설공사 단가계약(3구역),63090000,3,57354545,87.745,55625300
20230925230,청년취업사관학교 도봉캠퍼스 조성공사(실내건축),939685000,3,854259091,87.745,825103940
20230925233,성주 리도203호 급경사지 정비공사,30000000,3,27272727,87.745,26895000
20230925235,강원특별자치도교육청 대강당 환경개선 전기공사 수의 견적 제출 안내 공고,99828000,3,90752727,87.745,88905110
20230925237,2023년도 하반기 하수도 준설공사 단가계약(4구역),63090000,3,57354545,87.745,55800000
20230925240,서부동 폐철도부지 도시숲 조성사업,288730000,3,262481818,87.745,254050390
20230925241,조음농로 정비공사,51090000,3,46445455,87.745,45713827
20230925246,정선 치매안심센터 옥상녹화사업,84700000,3,77000000,87.745,75455110
20230925247,전주시 향토문화유산 시사재 보수정비공사,89605000,3,81459091,87.745,79863500
20230925253,전주 경기전 정전 기단석 보존처리공사,33429000,3,30390000,87.745,29690000
20230925254,용평1통 진입로 정비공사,45280000,3,41163637,87.745,40290200
20230925257,청년취업사관학교 도봉캠퍼스 조성공사(전기),354677000,3,322433637,87.745,313107870
20230925267,화목동 1785-4번지 일원 도로재포장공사,43200000,3,39272728,87.745,38165000
20230925270,시청사 보행로 바닥재 교체 공사,404280000,3,367527273,87.745,359382872
20230925272,상남들 우곡용수로 정비공사,84240000,3,76581819,87.745,73686000
20230925273,도평지구 농업용수관로 정비공사,77485000,3,70440909,87.745,68629700
20230925274,청년취업사관학교 도봉캠퍼스 조성공사(기계),79926000,3,72660000,87.745,70733960
20230925276,남해군 농어촌 맑은 물 공급사업(구미마을),158900000,3,144454546,87.745,141154000
20230925277,대구범일초등학교 환경개선 소방시설공사,114797000,3,104360910,87.745,100288000
20230925280,여수양지초 본관동 벽체 보수공사,275225000,3,250204546,87.745,245554000
20230925283,대곡초등학교 어린이보호구역 개선공사,38670000,3,35154546,87.745,33795500
20230925288,무태교 보수·보강 공사(2차),1721800000,3,1565272728,86.745,1493663000
20230925290,동선동 1046번지 일원 석축정비,100320000,3,91200000,87.745,87967990
20230925293,죽월배수로 정비공사,191210000,3,173827273,87.745,167999350
20230925296,서호 태백리 용수로 보강공사,28160000,3,25600000,87.745,24712540
20230925302,경북대학교 의대신관 캐노피 방수 등 6개동 보수공사,51293000,2,46630000,87.745,44879365
20230925303,춘천 송암스포츠타운 국궁장 사로 및 표적지 증설공사(전기),175947000,3,159951818,87.745,153163470
20230925304,미포지구 문화재조사구역 벌목공사,112000000,3,101818182,87.745,97715520
20230925311,"1,2호선 차량기지 보일러 세관 및 정비",23800000,3,21644811,87.745,20693400
20230925313,교동수소충전스테이션 진입도로 확장공사,59376000,3,53978182,87.745,52629500
20230925315,국도38호선 만호사거리+1.570~만호사거리+1.870 등 8개소 포장보수공사,145882000,2,132620000,87.745,129299616
20230925317,어방동 인제삼거리 교통사고 잦은 곳 개선사업,42482000,3,38620000,87.745,37568150
20230925319,2023년 고창읍 석정로 왕벚나무 식재사업(주력 조경식재) 수의(소액) 견적제출 안내,68153000,3,61957273,87.745,60123360
20230925320,공영주차장 화장실 7개소 환경 개선 공사,187100000,3,170090909,87.745,165037000
20230925327,2023년 공장밀집지역 기반시설 개선사업(건업리 512-19),70220000,3,63836364,87.745,
20230925328,국도43호선 삼두리입구삼거리+0.996~삼두리입구삼거리+1.704 등 8개소 포장보수공사,160281000,2,145710000,87.745,142521000
20230925335,00지역 차량보호벽 설치 공사,63200000,2,57454545,87.745,55219880
20230925336,거창군립한마음도서관 실감형 체험관 조성사업 건축공사,43300000,3,39363637,87.745,37780150
20230925339,2023 하천정비 민원해소사업(양지천),110759000,3,100690000,87.745,98344562
20230925345,국도43호선 기산방음터널 등 2개소 방재설비 보강공사(전기),205700000,2,187000000,87.745,181271290
20230925352,2023 온천천 둔치(연안교~관리사무소) 잔디 식재 공사,89600000,3,81454546,87.745,78415505
20230925356,시청사 승강기 설치공사(소방),56083000,3,50984545,87.745,49748220
20230925358,함안 말이산고분군 HM1호분 주변정비공사,87239600,3,79308728,87.745,78466000
20230925361,(구리 구룡산자락길) 2023년 생활밀착형 실외 생활정원 조성 공사,376658630,2,342416936,87.745,331678000
20230925364,대전교촌초 전기시설 개선공사,26686000,3,24260000,87.745,23535251
20230925366,2023년 일산호수공원 산책로 다년생 초화 등 식재 공사,189926000,3,172660000,87.745,166526660
20230925368,2023년 국유임도 구조개량 시설사업,60251000,3,54773636,87.745,
20230925369,한천로 노후보도 정비공사,434400000,3,394909090,87.745,391602000
20230925371,금성동 853번지 일원 구거정비공사,118600000,3,107818182,87.745,106025450
20230925372,차량방범 CCTV 노후시설 개선공사,33036000,3,30032727,87.745,29235830
20230925373,번데미공원 환경개선사업,75992000,3,69083636,87.745,74000000
20230925378,흥도초 전기시설 개선공사,38786000,3,35260000,87.745,34563500
20230925380,서귀포시 관내 서부지역 하반기 오름 정비공사,59884000,3,54440000,87.745,52773000
20230925381,어방동 인제삼거리 교통사고 잦은 곳 개선사업(교통신호등),74128700,3,67389728,87.745,64567549
20230925382,노원자원회수시설 비산재 이송장치2(C-821) 교체공사,184789000,3,167990000,87.745,
20230925384,개정초 외 2개소 어린이보호구역 개선공사,26163000,3,23784546,87.745,22945200
20230925385,대전자운중 전기시설 개선공사,40090000,3,36445455,87.745,35293575
20230925386,봉산어린이집 국공립전환 리모델링 공사(민간입찰대행),136362600,3,123966000,87.745,
20230925387,칠원 남구마을 공영주차장 조성공사,135990000,3,123627273,87.745,120047310
20230925389,진해우체국 오배수관 교체공사,86247000,2,80007273,87.745,75556120
20230925390,2023년 미세먼지 차단숲 조성사업(송촌교차로),2608210000,3,2371100000,86.745,2305165333
20230925391,2023년 산림지역내 탄소중립을 위한 나무가꾸기,40000000,3,36363636,87.745,35670000
20230925392,거창군립한마음도서관 미디어 창작공간 조성사업 건축공사,33400000,3,30363637,87.745,29148580
20230925396,시청사 승강기 설치공사(건축),311686000,3,283350909,87.745,275237002
20230925397,구암소하천 스마트 계측관리시스템 구축공사,63745000,3,57950000,87.745,57378270
20230925398,2023년 덩굴류 제거사업(2차) 서포·곤양·곤명지구,77125000,3,70113637,87.745,68246200
20230925399,2023년 은행나무(가로수) 열매채취 사업,25041000,3,22764546,87.745,22144160
20230925400,(영천 3사관학교) 2023년 생활밀착형 숲 실외 생활정원 조성 공사,326205000,2,296550000,87.745,285455475
20230925402,덕풍계곡 야외무대 보수공사,180944000,3,164494545,87.745,159813737
20230925403,[긴급] 이리공고 운동장 조명타워 설치 전기공사,180614000,3,164194545,87.745,158335600
20230925406,충주교현초 외벽보수 및 기타 전기공사,27313000,3,24830000,87.745,23855780
20230925407,2023년 은행나무길 사면 장미 식재사업,27500000,3,25000000,87.745,24086556
20230925409,지방도 531호 충주 엄정도로 교통안전위험시설 정비사업,175760000,3,159781819,87.745,154013000
20230925412,2023년 은행나무길 은행열매 채취 사업,40000000,3,36363637,87.745,35209840
20230925416,칠원 남구마을 공영주차장 조성사업 전기공사,31322000,3,28474547,87.745,27730700
20230925417,"월피동 도시재생 창업보육센터 건립공사(건축,토목,기계)",1375748000,3,1250680000,86.745,1204322048
20230925419,신도3리 37-31번지 일원 농로 사면 보강공사,40000000,3,36363637,87.745,35418000
20230925420,신흥리 도시계획도로(충령탑 진입로) 개설,220670000,3,200609091,87.745,194891100
20230925421,2023년 덩굴류 제거사업(2차) 축동·곤양지구,63958000,3,58143637,87.745,56659000
20230925423,삼척향교 전통문화체험숲 경관조명 설치공사,89320000,3,81200000,87.745,79645140
20230925426,하수1처리장 슬러지수집기 4~9호기 제어실 개선공사,190900000,3,173545455,87.745,168605300
20230925429,(동두천 국민체육센터) 2023년 생활밀착형 실외 생활정원 조성 공사,347956770,2,316324336,87.745,304527000
20230925430,★철도신호기술자보유★제천역구내 차량사업소 분기기 개량에 따른 신호설비 보수공사,86704000,2,78821818,87.745,
20230925431,소고개천 시설물(소고개3교) 정비공사,96910000,3,88100000,87.745,84801400
20230925434,시청사 승강기 설치공사(전기),24992000,3,22720000,87.745,21976400
20230925437,2023년 옥천군 내수면 어도개보수사업 토목공사(새상지어도),55353000,2,50320909,87.745,48465793
20230925440,2023년 덩굴류 제거사업(2차) 송포외지구,61080000,3,55527273,87.745,53594993
20230925443,오조4 중계펌프장 압송관로 개선공사(사업소),131010000,3,119100000,87.745,116491900
20230925444,"도시계획도로(신흥리(소로2-80호),번암리(소로2-151,152호)석면해체 및 지장물 철거공사",97600000,3,88727273,87.745,85582100
20230925448,보행환경 개선공사,11300000,3,10272727,87.745,9926116
20230925449,계촌5리 문화센터 기반조성공사,68780000,3,62527273,87.745,
20230925451,소하천(오학1천) 유지관리사업,40810000,3,37100000,87.745,36118000
20230925452,남평읍 남극당 경로당 외부계단 설치공사(민간입찰대행),26000000,3,23636363,87.745,
20230925458,한강 도교 복원사업,126610000,3,115100000,87.745,111157600
20230925460,수정공원상로 90-1 일원 등 2개소 계단정비공사,163110000,3,148281818,87.745,143885000
20230925462,2023년 제주 성읍마을 경관불량 건축물 철거 정비사업(사업소),126500000,3,115000000,87.745,111709000
20230925464,장흥대덕우체국 옥상 방수 및 기타공사,17826000,2,16205455,87.745,15690898
20230925466,국공립 시범어린이집 그린리모델링공사(건축),352957000,3,320870000,87.745,309203800
20230925468,계촌천(계촌6리) 지방하천 정비사업,73840000,3,67127273,87.745,65269694
20230925472,지방도 595호 단양 상리도로 회전교차로 설치공사,292490000,3,265900000,87.745,262202943
20230925473,함안고 담장교체 및 기타공사 수의계약 공고,51898000,3,47180000,87.745,46350000
20230925475,대전서부초 전기시설 개선공사,43901000,3,39910000,87.745,38584300
20230925481,구)구내식당 사무공간 조성공사(건축),208511000,3,189555450,87.745,185076870
20230925482,안동시민운동장 천정마감재 교체공사,199286000,3,181169091,87.745,175586768
20230925483,대전신계초 등 2교(대전신계중) 전기시설 개선공사,171354000,3,155776364,87.745,150831170
20230925489,2023년 밀원수 숲가꾸기사업,69010000,3,62736364,87.745,61835000
20230925491,대전봉산중 운동장 재조성공사,384300000,3,349363637,87.745,339830770
20230925492,"서산시 공공하수관로 기술진단 결과에 따른 시설개선공사(갈산외 5개소, 대산읍)",948002000,3,861820000,87.745,830040322
20230925493,근덕면 장호천 소하천 정비공사,69170000,3,62881818,87.745,61865103
20230925495,중앙동 도시재생 맛거리조성사업(토목공사),256300000,3,233000000,87.745,223972300
20230925496,국지도 49호 충주 앙성도로 교통안전 위험시설 정비사업,399352000,3,363047273,87.745,356044240
20230925497,문막중 다목적실 환경개선공사,502020000,3,456381818,87.745,445632370
20230925498,교동(뒷나루길) 횡배수로 정비공사,36301000,3,33000909,87.745,32397830
20230925499,안동시민운동장 천정마감재 교체 전기공사,54890000,3,49900000,87.745,48140440
20230925500,직지사권역 단풍나무길 조성사업,98000000,3,89090909,87.745,86880600
20230925503,매봉공원 리모델링공사,493404000,3,448549091,87.745,441050150
20230925506,애명노인마을 리모델링공사(입찰대행),63930000,3,58118182,87.745,56756510
20230925507,일직면 귀미1리(귀미길) 용수로 정비공사,97700000,3,88818182,87.745,87543900
20230925508,창천2리(창천)제방 확포장공사,17000000,3,15436364,87.745,14983660
20230925509,보행신호등 잔여시간 보조장치 설치공사,55587000,3,50533636,87.745,48357093
20230925514,2023년 추기 조림사업(1권역),120720000,3,109745450,87.745,107427000
20230925515,남면 봉천1리 봉천소하천 정비공사,34300000,3,31181819,87.745,29967600
20230925516,이사부 독도 평화의 다리 주차장 조성 건축물(삼척항1길 49) 철거공사,30300000,3,27545455,87.745,27108606
20230925517,녹전면 갈현리(신매로) 용배수로 개체공사,62700000,3,57000000,87.745,55758675
20230925519,경로당 리모델링공사(선남 신부2리),40810000,3,37100000,87.745,35793900
20230925523,2023년 추기 조림사업(2권역),118975000,3,108159090,87.745,106124150
20230925524,"수질정화시설 관리사무소 지상화 공사(건축,토목,기계)",176198000,3,160180000,87.745,154306910
